playerID,yearID,stint,teamID,lgID,G,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO
cokeph01,2015,1,CHN,NL,16,0,0,0,0,0,0,0,0,0,0,0
cokeph01,2015,2,TOR,AL,2,0,0,0,0,0,0,0,0,0,0,0
colabch01,2015,1,TOR,AL,101,333,55,107,19,1,15,54,2,0,22,96
coleaj01,2015,1,WAS,NL,3,2,0,0,0,0,0,0,0,0,0,0
colege01,2015,1,PIT,NL,33,60,5,9,0,0,0,2,0,0,2,28
colemdu01,2015,1,KCA,AL,4,5,0,0,0,0,0,0,0,0,0,3
colemlo01,2015,1,KCA,AL,4,0,0,0,0,0,0,0,0,0,0,0
collity01,2015,1,DET,AL,60,192,18,51,11,3,4,25,2,1,13,43
collmjo01,2015,1,ARI,NL,44,27,2,5,0,0,0,1,0,0,3,9
colomal01,2015,1,TBA,AL,43,0,0,0,0,0,0,0,0,0,0,0
colonba01,2015,1,NYN,NL,33,58,2,8,1,0,0,4,0,0,0,24
colonch01,2015,1,KCA,AL,43,107,8,31,5,0,0,6,3,2,11,17
confomi01,2015,1,NYN,NL,56,174,30,47,14,0,9,26,0,1,17,39
congeha01,2015,1,HOU,AL,73,201,25,46,11,0,11,33,0,1,23,63
conlead01,2015,1,MIA,NL,15,18,0,4,0,0,0,1,0,0,0,8
contrca01,2015,1,CIN,NL,22,0,0,0,0,0,0,0,0,0,0,0
cookry01,2015,1,OAK,AL,4,0,0,0,0,0,0,0,0,0,0,0
cookry01,2015,2,BOS,AL,5,0,0,0,0,0,0,0,0,0,0,0
cooneti01,2015,1,SLN,NL,6,10,1,3,1,0,0,0,0,0,0,0
copelsc01,2015,1,TOR,AL,5,1,0,0,0,0,0,0,0,0,0,1
corbipa01,2015,1,ARI,NL,16,25,1,3,0,0,0,3,0,0,3,11
cordier01,2015,1,MIA,NL,8,0,0,0,0,0,0,0,0,0,0,0
cornejo01,2015,1,ATL,NL,1,0,0,0,0,0,0,0,0,0,0,0
corpoca01,2015,1,TEX,AL,33,107,10,19,4,0,3,15,0,0,6,40
correca01,2015,1,HOU,AL,99,387,52,108,22,1,22,68,14,4,40,78
correke01,2015,1,PHI,NL,5,6,0,1,0,0,0,0,0,0,0,1
cosarja01,2015,1,MIA,NL,15,17,0,1,0,0,0,1,0,0,0,8
cothaca01,2015,1,NYA,AL,12,0,0,0,0,0,0,0,0,0,0,0
cottsne01,2015,1,MIL,NL,51,0,0,0,0,0,0,0,0,0,0,0
cottsne01,2015,2,MIN,AL,17,0,0,0,0,0,0,0,0,0,0,0
couloda01,2015,1,LAN,NL,5,1,0,0,0,0,0,0,0,0,0,1
couloda01,2015,2,OAK,AL,9,0,0,0,0,0,0,0,0,0,0,0
cowarka01,2015,1,LAA,AL,34,46,8,8,2,0,1,4,1,1,5,19
cowgico01,2015,1,LAA,AL,55,69,10,13,2,1,1,2,2,1,4,19
cozarza01,2015,1,CIN,NL,53,194,28,50,10,1,9,28,3,3,14,29
craigal01,2015,1,BOS,AL,36,79,6,12,1,0,1,3,0,0,7,26
cravyty01,2015,1,MIL,NL,14,8,0,0,0,0,0,0,0,0,0,3
crawfbr01,2015,1,SFN,NL,143,507,65,130,33,4,21,84,6,4,39,119
crawfca02,2015,1,LAN,NL,69,181,19,48,9,2,4,16,10,2,10,41
crispco01,2015,1,OAK,AL,44,126,11,22,6,0,0,6,2,0,13,25
crockky01,2015,1,CLE,AL,31,0,0,0,0,0,0,0,0,0,0,0
croncj01,2015,1,LAA,AL,113,378,37,99,17,1,16,51,3,1,17,82
cruzne02,2015,1,SEA,AL,152,590,90,178,22,1,44,93,3,2,59,164
cruzto03,2015,1,SLN,NL,69,142,6,29,7,1,2,11,0,0,6,32
cuddymi01,2015,1,NYN,NL,117,379,44,98,18,1,10,41,2,0,24,88
cuetojo01,2015,1,CIN,NL,19,37,1,6,0,0,0,0,0,0,1,10
cuetojo01,2015,2,KCA,AL,13,0,0,0,0,0,0,0,0,0,0,0
cunnibr02,2015,1,ATL,NL,39,0,0,0,0,0,0,0,0,0,0,0
cunnito01,2015,1,ATL,NL,39,86,13,19,4,0,0,4,2,1,5,17
cuthbch01,2015,1,KCA,AL,19,46,6,10,2,1,1,8,0,0,4,9
danksjo01,2015,1,CHA,AL,30,0,0,0,0,0,0,0,0,0,0,0
danksjo02,2015,1,PHI,NL,4,4,0,0,0,0,0,0,0,0,0,2
darnach01,2015,1,PHI,NL,11,17,2,3,0,1,0,0,0,1,1,7
darnatr01,2015,1,NYN,NL,67,239,31,64,14,1,12,41,0,0,23,49
davieky01,2015,1,NYA,AL,1,0,0,0,0,0,0,0,0,0,0,0
davieza01,2015,1,MIL,NL,6,13,1,1,0,0,0,0,0,0,0,3
davisch02,2015,1,BAL,AL,160,573,100,150,31,0,47,117,2,3,84,208
davisik02,2015,1,OAK,AL,74,214,19,49,17,0,3,20,0,0,23,44
daviskh01,2015,1,MIL,NL,121,392,54,97,16,2,27,66,6,2,44,122
davisra01,2015,1,DET,AL,112,341,55,88,16,11,8,30,18,8,22,76
daviswa01,2015,1,KCA,AL,69,0,0,0,0,0,0,0,0,0,0,0
deazaal01,2015,1,BAL,AL,30,103,16,22,4,1,3,7,2,2,7,34
deazaal01,2015,2,BOS,AL,60,161,23,47,9,5,4,25,3,1,12,36
deazaal01,2015,3,SFN,NL,24,61,12,16,4,1,0,3,2,2,12,14
